,prec_point,swq,tmean_point,tmax_point,tmin_point,prec_ref,swe,tmean_ref,tmax_ref,tmin_ref
1995-10-01,0.0189969054945439,0.0,3.5967205416666665,8.90063,0.20705,0.2,0.0,5.966666666666668,9.4,3.1055555555555574
1995-10-02,0.5039394288200579,0.0,3.9221425,5.00115,2.88405,2.1,0.0,7.683333333333333,9.972222222222223,4.249999999999999
1995-10-03,0.3203440795998828,0.0,2.084228625,4.43659,0.856127,1.6,0.0,3.677777777777776,6.5388888888888905,2.5333333333333345
1995-10-04,0.0022513320818604004,0.0,2.7640369166666665,7.28188,0.359466,0.3,0.0,4.822222222222222,9.972222222222223,2.5333333333333345
1995-10-05,0.032238504022956,0.0,5.97048875,9.5193,3.36395,0.0,0.0,8.255555555555555,13.405555555555557,5.394444444444445
1995-10-06,0.6585234206024551,0.0,2.0688261249999997,4.8049,0.538939,0.5,0.0,4.822222222222222,8.255555555555555,3.677777777777776
1995-10-07,0.027631001219945203,0.0,3.1832616666666667,5.99595,1.34478,0.2,0.0,5.394444444444445,8.255555555555555,3.677777777777776
1995-10-08,0.850265780403116,0.0,2.1495758333333335,3.1953,1.36171,0.5,0.0,4.822222222222222,5.966666666666668,3.1055555555555574
1995-10-09,0.2654725492999811,0.0,2.2564278333333334,3.90176,0.699673,1.2,0.0,4.249999999999999,5.966666666666668,3.1055555555555574
1995-10-10,2.3609854481598003,0.0,4.49208125,5.53979,2.74228,3.6,0.0,5.394444444444445,7.683333333333333,1.961111111111112
1995-10-11,1.3067651072275799,0.018994297822532084,1.1214837708333334,2.56255,-0.079675,0.8,0.0,2.5333333333333345,4.822222222222222,1.3888888888888888
1995-10-12,0.0852691771083229,0.21257603342616668,0.6921260625,3.40111,-1.44209,0.4,0.0,2.5333333333333345,4.822222222222222,0.816666666666666
1995-10-13,0.0009617952831487,0.038738964488583334,3.809616629166667,8.46949,-1.3479,0.1,0.0,6.5388888888888905,11.116666666666664,1.961111111111112
1995-10-14,0.001882343929851,0.0,8.437007916666667,14.0853,3.80596,0.5,0.0,12.261111111111113,20.272222222222226,8.827777777777778
1995-10-15,0.7497182697295368,0.0,9.119741666666666,15.4222,4.27533,0.7,0.0,11.688888888888888,18.55555555555556,5.966666666666668
1995-10-16,0.568922933596171,0.0,3.877826666666667,5.1293,2.66557,1.7,0.0,5.394444444444445,6.5388888888888905,4.249999999999999
1995-10-17,3.24788631291278,0.0,2.5488964166666666,3.6728,0.445871,1.2,0.0,4.249999999999999,7.11111111111111,1.3888888888888888
1995-10-18,0.007012753156963401,0.0024472385262325,0.05008718708333335,2.36066,-1.38602,0.0,0.0,3.677777777777776,7.683333333333333,1.3888888888888888
1995-10-19,0.0032773080295879003,0.0,4.240255375,7.98678,0.626687,0.0,0.0,9.4,12.261111111111113,6.5388888888888905
1995-10-20,1.070735048669055,0.00713123780755925,1.6535782916666666,5.88128,-0.714261,0.6,0.0,4.822222222222222,11.116666666666664,2.5333333333333345
1995-10-21,0.280242884401942,0.28563230647233334,-1.460173,0.20122,-3.74252,0.8,0.0,0.816666666666666,2.5333333333333345,-0.9000000000000006
1995-10-22,3.4270845277900004e-05,0.21286947190483332,-0.07657390416666665,4.42319,-3.76804,0.0,0.0,1.961111111111112,5.966666666666668,-0.9000000000000006
1995-10-23,0.0982536936475171,0.0329110020239,0.6900298291666668,4.4435,-1.43378,0.3,0.0,4.822222222222222,8.827777777777778,1.3888888888888888
1995-10-24,0.012255815673255,0.04369864164187317,-1.1764563875,0.713555,-2.8532,0.0,0.0,1.961111111111112,4.249999999999999,0.816666666666666
1995-10-25,0.841416597278103,0.0077754686016379155,1.0194520833333334,4.69983,-2.09815,1.8,0.0,3.1055555555555574,5.966666666666668,1.3888888888888888
1995-10-26,0.343558909143758,0.002783369777297083,0.24314177916666666,2.49118,-1.60176,0.8,0.0,1.961111111111112,3.1055555555555574,0.2444444444444432
1995-10-27,0.0103249847487171,0.0089331101388375,-2.6358824999999997,-1.15309,-4.82293,0.1,0.0,0.816666666666666,3.677777777777776,-0.9000000000000006
1995-10-28,0.0,0.005169858434766667,-2.0736239583333336,2.79408,-4.63649,0.0,0.0,0.816666666666666,3.677777777777776,-1.4722222222222214
1995-10-29,0.0,0.0,-2.7824635499999997,2.38278,-5.94042,0.0,0.0,1.3888888888888888,5.966666666666668,-1.4722222222222214
1995-10-30,0.0,0.0,-3.0274358916666664,2.7352,-5.82345,0.0,0.0,0.2444444444444432,4.822222222222222,-2.0444444444444443
1995-10-31,0.0,0.0,-3.9649143208333335,1.86103,-7.26683,0.0,0.0,-0.9000000000000006,3.1055555555555574,-3.188888888888888
1995-11-01,0.0,0.0,-3.7080149166666665,1.74939,-7.02898,0.0,0.0,-1.4722222222222214,1.961111111111112,-4.333333333333333
1995-11-02,0.0,0.0,-1.0778670333333333,4.12163,-4.57701,0.0,0.0,-0.3277777777777777,4.822222222222222,-2.0444444444444443
1995-11-03,0.0,0.0,1.3467667875,6.58212,-2.25665,0.0,0.0,2.5333333333333345,8.255555555555555,-2.0444444444444443
1995-11-04,0.33030892092577613,0.08876681302591667,0.27067575000000005,3.00623,-3.08838,0.7,0.0,2.5333333333333345,7.11111111111111,-2.0444444444444443
1995-11-05,0.44509343326371,0.3906925994253333,-2.048704583333333,-0.803084,-3.25886,1.0,0.7,-0.9000000000000006,-0.3277777777777777,-2.616666666666667
1995-11-06,0.2975583755239557,0.8716809169016666,-2.38082625,-1.14755,-3.2281,0.5,1.6,-1.4722222222222214,1.961111111111112,-4.333333333333333
1995-11-07,3.9690345842224,1.4762544061008331,2.8568806666666666,6.24986,-1.81813,6.3,2.0,4.822222222222222,7.11111111111111,-0.9000000000000006
1995-11-08,3.583321933811697,0.17673598782583336,3.3239771833333336,6.52463,-3.14017,3.4,0.4,4.249999999999999,7.683333333333333,-2.0444444444444443
1995-11-09,0.225063693581573,0.5646215319295834,-3.216991666666667,-2.33379,-4.12994,0.3,0.2,-2.0444444444444443,-1.4722222222222214,-2.616666666666667
1995-11-10,0.6317311949141886,0.7384027937504166,-2.4794674999999997,2.55269,-4.98853,1.5,0.2,-0.3277777777777777,5.966666666666668,-3.188888888888888
1995-11-11,0.8789363482867892,0.452044879930875,2.1676545833333334,4.76088,0.560858,1.4,0.0,3.677777777777776,7.11111111111111,1.3888888888888888
1995-11-12,0.0372943836428933,0.15990444986541666,-0.8931153,0.754014,-2.39493,0.1,0.0,1.3888888888888888,2.5333333333333345,0.816666666666666
1995-11-13,2.67144819848676,0.0717181834128375,4.3369691291666665,8.06493,-0.944824,2.6,0.0,7.11111111111111,8.827777777777778,1.961111111111112
1995-11-14,0.1958085169176444,0.0,7.227270833333333,9.22724,5.98052,0.6,0.0,9.4,12.833333333333334,7.683333333333333
1995-11-15,1.096170838782327,0.0,5.669778333333333,6.83986,2.73376,1.0,0.0,7.11111111111111,12.261111111111113,4.249999999999999
1995-11-16,0.008770697373969301,0.0,2.9434540833333336,5.06646,0.745054,0.0,0.0,5.966666666666668,8.827777777777778,2.5333333333333345
1995-11-17,0.858578653396002,0.0,5.218039583333334,6.54069,3.769,0.5,0.0,8.827777777777778,11.688888888888888,5.394444444444445
1995-11-18,0.479414101796861,0.0006703807753912501,1.5717066791666667,6.70658,-0.488077,0.5,0.0,2.5333333333333345,2.5333333333333345,2.5333333333333345
1995-11-19,0.00027904857588300003,0.0016352663029908332,0.6394430416666667,3.56038,-1.5006,0.1,0.0,4.249999999999999,4.249999999999999,4.249999999999999
1995-11-20,0.0,0.0,2.473392125,4.76295,0.380106,0.0,0.0,,,
1995-11-21,0.725858291175864,0.0,4.2616725,6.00231,3.18607,0.2,0.0,,,
1995-11-22,0.6356293097750749,0.0,4.133494583333333,4.86715,3.40221,1.7,0.0,,,
1995-11-23,2.568162141924918,0.0,6.447460416666666,8.15966,4.5574,2.3,0.0,,,
1995-11-24,2.094474443614014,0.0,6.213468333333334,7.70692,4.63828,2.0,0.0,,,
1995-11-25,0.7583578504579,0.00488931120321875,1.634062,4.37509,-0.271133,0.3,0.0,,,
1995-11-26,1.25850225833101,0.9604429070903334,-0.5737872333333333,-0.0738386,-1.0228,1.6,0.0,,,
1995-11-27,1.7750453837208402,1.8095559312279168,-0.773453125,1.65594,-1.58528,3.1,0.9,0.816666666666666,4.822222222222222,-1.4722222222222214
1995-11-28,8.823904764906,1.75756394121,4.599938750000001,6.34595,1.90748,7.6,1.3,6.5388888888888905,7.11111111111111,5.394444444444445
1995-11-29,5.16474746219047,0.05906116542319583,5.0516845833333335,6.12846,2.88445,3.6,0.3,5.394444444444445,7.11111111111111,2.5333333333333345
1995-11-30,1.8846894350545802,0.0,1.5769944583333333,3.00865,0.558837,1.6,0.1,0.816666666666666,1.961111111111112,-0.9000000000000006
1995-12-01,1.3874135247934503,0.38629653405933334,-1.1335167874999998,1.03047,-2.80924,1.3,0.3,-1.4722222222222214,-0.3277777777777777,-2.0444444444444443
1995-12-02,0.6679650910159151,1.3237802424,-3.260158333333333,-2.76544,-3.8717,0.3,1.4,-3.188888888888888,-1.4722222222222214,-3.761111111111111
1995-12-03,1.1404761190063781,1.7303493595850004,-1.9686024166666665,1.3582,-3.77898,1.2,1.6,-1.4722222222222214,2.5333333333333345,-3.188888888888888
1995-12-04,0.47291789781647187,2.8282781020725,-6.271296666666667,-2.12588,-9.88789,0.8,2.7,-4.905555555555555,-2.616666666666667,-6.622222222222224
1995-12-05,0.0005291953645055,2.87834555036875,-6.669035,-3.15581,-8.43025,0.6,3.5,-6.050000000000001,-2.0444444444444443,-7.7666666666666675
1995-12-06,0.0001563483127745,2.8727212034995837,-5.99326125,-2.11186,-8.10711,0.3,4.1,-4.333333333333333,-0.9000000000000006,-7.7666666666666675
1995-12-07,0.0068754160749274,2.8754928585395834,-9.069345,-6.79501,-12.8146,0.0,4.4,-5.477777777777778,-1.4722222222222214,-8.91111111111111
1995-12-08,5.50556596513e-05,2.85922250854625,-11.536876666666666,-9.63634,-12.8962,0.0,4.4,-6.050000000000001,-1.4722222222222214,-9.483333333333333
1995-12-09,2.112844334990443,3.5636231513895833,-2.4910340125,2.17959,-9.51484,0.5,4.4,1.961111111111112,4.822222222222222,-2.0444444444444443
1995-12-10,3.56648832747746,3.862030792844584,3.2403520833333332,4.63325,2.25669,0.6,3.7,4.822222222222222,7.683333333333333,3.1055555555555574
1995-12-11,0.6401711335662412,2.967775060602917,2.4629600000000003,4.83458,1.47623,0.5,2.2,3.677777777777776,6.5388888888888905,2.5333333333333345
1995-12-12,1.071110036666824,2.344644310726667,2.748775,3.6105,1.11186,1.0,1.5,4.249999999999999,8.255555555555555,1.3888888888888888
1995-12-13,0.66942566463927,1.8395485655341666,0.21398865,1.86366,-0.902534,0.7,0.2,0.2444444444444432,1.3888888888888888,-0.9000000000000006
1995-12-14,1.4387839943838823,2.6687817889104166,-0.17994361250000002,0.787705,-0.844008,0.9,0.1,-0.3277777777777777,1.961111111111112,-1.4722222222222214
1995-12-15,0.381692747846256,3.6552655893279167,-1.1256930833333334,-0.661034,-1.40064,0.4,0.7,-0.3277777777777777,0.816666666666666,-0.9000000000000006
1995-12-16,0.025128054120323002,3.841945316119167,-1.93365,-0.473566,-2.97235,0.3,1.0,-0.3277777777777777,2.5333333333333345,-2.0444444444444443
1995-12-17,0.9290957095854281,4.12731669725375,-0.7376354208333332,0.754256,-2.88527,0.1,1.3,1.961111111111112,2.5333333333333345,0.816666666666666
1995-12-18,1.038134581064812,4.710842438866667,0.015273912500000006,0.714049,-1.02461,0.4,1.4,1.3888888888888888,2.5333333333333345,0.2444444444444432
1995-12-19,0.00022527972795019998,4.94919558595,-1.4405251833333335,0.455131,-3.6055,0.0,1.0,0.816666666666666,3.677777777777776,-0.3277777777777777
1995-12-20,0.000655077125395,4.9446155309833335,-2.4203435416666665,-0.40365,-3.90822,0.0,0.9,0.816666666666666,3.1055555555555574,-0.9000000000000006
1995-12-21,0.000211352082634,4.930629302958334,-2.2213502916666665,-0.231755,-3.35775,0.1,0.8,0.2444444444444432,1.961111111111112,-0.9000000000000006
1995-12-22,0.0,4.896731646858334,-1.9782760416666667,0.620581,-3.02692,0.0,0.8,0.2444444444444432,2.5333333333333345,-1.4722222222222214
1995-12-23,0.0,4.859090550416666,-1.2340051375,1.30115,-2.80723,0.0,0.8,3.1055555555555574,6.5388888888888905,-0.9000000000000006
1995-12-24,0.0,4.812587900633334,-0.6587149208333334,1.85445,-1.85426,0.1,0.8,4.822222222222222,6.5388888888888905,3.1055555555555574
1995-12-25,0.0,4.775473379279167,-1.4559537958333333,1.45889,-3.26248,0.0,0.7,2.5333333333333345,5.394444444444445,0.816666666666666
1995-12-26,7.177925135919999e-05,4.747277825995834,-1.6595608333333332,0.804289,-3.58231,0.0,0.6,4.249999999999999,7.11111111111111,1.961111111111112
1995-12-27,0.12367963533027411,4.773913339066667,-0.4414084166666667,0.29969,-1.70237,0.1,0.6,3.677777777777776,5.966666666666668,0.2444444444444432
1995-12-28,0.5206550652480716,4.9746237492875,-0.7337285833333334,0.42117,-1.88166,0.3,0.6,1.3888888888888888,2.5333333333333345,0.2444444444444432
1995-12-29,1.6015740813849701,6.124775289004167,1.5226527916666666,3.21308,-0.786877,1.7,0.5,1.961111111111112,3.677777777777776,-0.9000000000000006
1995-12-30,2.6587293097288005,5.753454550433333,3.08609,4.7284,1.09096,1.5,0.3,1.961111111111112,3.677777777777776,-0.3277777777777777
1995-12-31,0.61015955783244,5.4876801287,0.4487635833333334,0.850797,0.160938,1.3,0.3,1.3888888888888888,2.5333333333333345,-0.9000000000000006
1996-01-01,0.20195282295210332,5.49998328495,0.706589975,2.32668,-0.587178,0.2,0.1,1.961111111111112,3.677777777777776,0.816666666666666
1996-01-02,3.066490766534041,5.0381047546958335,3.3603191666666667,4.65284,1.24378,1.6,0.2,4.249999999999999,4.822222222222222,1.3888888888888888
1996-01-03,0.67550904587705,4.246199799508333,-1.1043658333333333,3.67578,-3.81284,2.0,0.2,-0.3277777777777777,2.5333333333333345,-2.0444444444444443
1996-01-04,0.0999481671609575,4.4984916024125,-4.98674,-3.48741,-7.77128,0.8,1.2,-3.188888888888888,-2.0444444444444443,-3.761111111111111
1996-01-05,0.2741736330143118,4.564244590675,-6.6270500000000006,-3.02822,-8.81052,0.4,1.9,-2.616666666666667,1.3888888888888888,-4.333333333333333
1996-01-06,3.547507427464,5.445831352820834,2.0546522499999997,4.63244,-2.38136,1.2,2.1,4.249999999999999,5.394444444444445,1.3888888888888888
1996-01-07,2.86875101762865,4.618850919374999,3.630225,4.35949,2.29537,2.4,1.6,3.677777777777776,4.822222222222222,2.5333333333333345
1996-01-08,0.32240778118672203,4.170802777166667,1.504792625,2.52611,-0.331332,0.0,0.4,2.5333333333333345,4.249999999999999,1.3888888888888888
1996-01-09,0.41608971783793264,4.045584533695833,0.84300715,3.1561,-1.37719,0.7,0.1,1.961111111111112,4.822222222222222,-0.3277777777777777
1996-01-10,0.068437352310481,4.15431326695,-0.8704790208333333,0.0435038,-1.99898,0.3,0.2,0.2444444444444432,1.3888888888888888,-0.9000000000000006
