,prec_point,swq,tmean_point,tmax_point,tmin_point,prec_ref,swe,tmean_ref,tmax_ref,tmin_ref
2003-06-23,0.004453397286723001,0.0,7.561085416666668,13.2127,3.2347,0.0,0.0,4.822222222222221,7.683333333333333,1.3888888888888888
2003-06-24,0.0,0.0,11.252165416666669,17.5982,5.5883400000000005,0.0,0.0,8.255555555555555,13.977777777777774,4.822222222222221
2003-06-25,0.0,0.0,14.117820416666667,20.5534,7.43416,0.0,0.0,12.261111111111115,19.12777777777778,4.822222222222221
2003-06-26,0.0,0.0,15.85084583333333,21.7448,11.0301,0.0,0.0,15.122222222222224,23.70555555555556,9.4
2003-06-27,0.0,0.0,15.747708333333334,21.5889,10.0874,0.0,0.0,14.55,19.7,10.544444444444443
2003-06-28,0.0,0.0,19.663,26.5422,12.9019,0.0,0.0,19.12777777777778,27.711111111111112,9.972222222222225
2003-06-29,0.023137343990222003,0.0,19.77901375,24.9814,9.08883,0.0,0.0,17.411111111111108,29.42777777777778,8.255555555555555
2003-06-30,0.0184149421094177,0.0,9.201394166666665,13.764000000000001,6.0765400000000005,0.1,0.0,7.111111111111111,9.4,4.822222222222221
2003-07-01,0.0032063292511018996,0.0,8.541160416666669,13.9996,4.3918800000000005,0.1,0.0,6.5388888888888905,11.116666666666665,3.1055555555555574
2003-07-02,0.0,0.0,8.503157916666668,14.207,2.60603,0.0,0.0,7.683333333333333,13.977777777777774,2.5333333333333345
2003-07-03,0.0,0.0,11.197422083333334,17.4901,5.16291,0.0,0.0,8.827777777777778,15.122222222222224,3.677777777777776
2003-07-04,0.0,0.0,11.598436666666666,17.4083,6.11437,0.0,0.0,10.544444444444443,17.411111111111108,5.966666666666668
2003-07-05,0.2087616864714073,0.0,9.551923333333333,14.7125,7.008439999999999,0.0,0.0,8.827777777777778,15.122222222222224,7.111111111111111
2003-07-06,0.0,0.0,15.175053749999998,22.0331,8.20359,0.0,0.0,11.116666666666665,17.983333333333334,6.5388888888888905
2003-07-07,0.0008062661834150001,0.0,13.906172083333331,20.1991,7.0457399999999994,0.0,0.0,11.688888888888886,18.555555555555557,7.683333333333333
2003-07-08,0.04014200238533099,0.0,7.110869166666668,11.9073,4.49826,0.0,0.0,7.683333333333333,10.544444444444443,5.966666666666668
2003-07-09,0.0,0.0,15.933099999999998,23.2166,7.05875,0.0,0.0,13.977777777777774,23.13333333333333,5.394444444444446
2003-07-10,0.0,0.0,19.51725416666667,25.5161,13.8753,0.0,0.0,19.12777777777778,28.28333333333333,12.833333333333336
2003-07-11,0.0,0.0,16.53972916666667,22.8257,10.8698,0.0,0.0,16.266666666666666,24.277777777777782,11.116666666666665
2003-07-12,0.000343206878245,0.0,14.605297083333333,21.0383,8.48185,0.0,0.0,13.977777777777774,23.70555555555556,8.827777777777778
2003-07-13,0.0630241726944522,0.0,11.247159583333334,15.6947,8.80128,0.0,0.0,8.827777777777778,12.261111111111115,7.683333333333333
2003-07-14,0.00021585877798099997,0.0,13.26178625,20.0102,7.497839999999999,0.0,0.0,11.688888888888886,19.7,7.111111111111111
2003-07-15,0.00048489396263,0.0,12.197909166666669,18.425,7.022419999999999,0.0,0.0,12.833333333333336,19.12777777777778,9.4
2003-07-16,0.0,0.0,11.510057916666666,17.793,5.89882,0.0,0.0,9.972222222222225,15.694444444444445,5.966666666666668
2003-07-17,0.0,0.0,14.6983425,21.9497,6.09668,0.0,0.0,13.405555555555555,21.988888888888887,5.966666666666668
2003-07-18,0.0,0.0,18.58812083333333,24.7321,13.5527,0.0,0.0,17.411111111111108,26.566666666666666,11.688888888888886
2003-07-19,0.0,0.0,18.451004166666667,25.0915,12.2364,0.0,0.0,17.411111111111108,27.711111111111112,11.116666666666665
2003-07-20,0.0010477172193103,0.0,15.239708333333333,21.0106,11.4981,0.0,0.0,15.122222222222224,21.988888888888887,11.116666666666665
2003-07-21,0.0,0.0,18.42891666666667,26.5671,11.8344,0.0,0.0,17.983333333333334,27.711111111111112,11.688888888888886
2003-07-22,0.0,0.0,18.669395833333333,25.6339,13.057,0.0,0.0,17.983333333333334,27.13888888888889,12.261111111111115
2003-07-23,0.0,0.0,16.015333333333334,22.0515,10.6046,0.0,0.0,15.694444444444445,23.70555555555556,9.972222222222225
2003-07-24,3.78522645347e-05,0.0,13.8078425,20.3967,6.833080000000001,0.0,0.0,12.833333333333336,21.416666666666668,7.683333333333333
2003-07-25,0.0,0.0,15.939606666666668,23.041,9.51791,0.0,0.0,13.405555555555555,22.56111111111111,7.111111111111111
2003-07-26,0.0,0.0,16.38692916666667,23.0414,10.6054,0.0,0.0,13.405555555555555,21.988888888888887,8.255555555555555
2003-07-27,0.0,0.0,17.6238625,24.873,10.2442,0.0,0.0,16.838888888888892,26.566666666666666,9.972222222222225
2003-07-28,0.0,0.0,20.769004166666665,28.0042,13.8743,0.0,0.0,19.12777777777778,28.28333333333333,12.261111111111115
2003-07-29,0.0,0.0,23.9593375,31.3272,17.2641,0.0,0.0,20.84444444444444,31.144444444444453,14.55
2003-07-30,0.0,0.0,22.84217083333333,28.7831,16.8245,0.0,0.0,20.272222222222226,28.28333333333333,15.122222222222224
2003-07-31,0.0,0.0,17.896712499999996,24.3598,12.4116,0.0,0.0,17.983333333333334,25.99444444444445,11.688888888888886
2003-08-01,0.0,0.0,16.055066666666665,21.8616,11.0813,0.0,0.0,14.55,23.70555555555556,9.972222222222225
2003-08-02,0.0013178172470540003,0.0,15.034757500000003,20.8545,9.42504,0.0,0.0,13.977777777777774,21.416666666666668,9.972222222222225
2003-08-03,1.9662609043000002e-05,0.0,14.72387916666667,21.0397,9.275830000000001,0.0,0.0,12.261111111111115,17.411111111111108,8.255555555555555
2003-08-04,0.0,0.0,15.102975416666666,22.1705,7.802969999999999,0.0,0.0,13.977777777777774,23.13333333333333,7.683333333333333
2003-08-05,0.0,0.0,15.87548333333333,22.1437,10.6264,0.0,0.0,13.977777777777774,21.988888888888887,7.683333333333333
2003-08-06,0.0142620644731642,0.0,14.456510833333335,21.2328,9.48935,0.0,0.0,11.688888888888886,19.7,8.255555555555555
2003-08-07,0.0058891462116333,0.0,14.572224583333329,21.9323,7.31347,0.0,0.0,13.405555555555555,20.84444444444444,8.255555555555555
2003-08-08,0.0060278595542549995,0.0,14.003285416666666,20.0796,8.206,0.0,0.0,13.977777777777774,20.272222222222226,9.4
2003-08-09,0.0,0.0,14.011515416666668,20.3951,7.9729600000000005,0.0,0.0,13.977777777777774,21.416666666666668,9.972222222222225
2003-08-10,0.014124019437990002,0.0,13.216176249999998,19.9591,7.97081,0.0,0.0,11.116666666666665,16.266666666666666,8.255555555555555
2003-08-11,0.0,0.0,11.65663375,17.9878,6.41279,0.0,0.0,11.116666666666665,18.555555555555557,7.111111111111111
2003-08-12,0.00854424870838,0.0,11.264087083333335,17.8715,5.96974,0.0,0.0,9.4,15.694444444444445,6.5388888888888905
2003-08-13,0.0,0.0,13.055046666666668,19.4276,6.62605,0.1,0.0,11.688888888888886,20.272222222222226,6.5388888888888905
2003-08-14,1.9662609043000002e-05,0.0,16.00315458333333,23.191999999999997,8.31537,0.0,0.0,18.555555555555557,30.57222222222222,9.4
2003-08-15,0.0021013683394627003,0.0,18.08205416666667,23.9063,10.2654,0.3,0.0,16.838888888888892,25.99444444444445,9.4
2003-08-16,0.015015408108316,0.0,12.129644583333333,18.8306,8.0538,0.0,0.0,9.4,11.116666666666665,8.255555555555555
2003-08-17,0.0,0.0,15.740864583333334,22.3597,9.37123,0.0,0.0,13.405555555555555,22.56111111111111,9.4
2003-08-18,0.0,0.0,15.325170000000002,21.8004,9.96838,0.0,0.0,15.122222222222224,23.70555555555556,10.544444444444443
2003-08-19,9.831304521500001e-06,0.0,12.952729999999995,19.3146,7.92696,0.0,0.0,13.977777777777774,19.7,8.255555555555555
2003-08-20,0.0,0.0,14.79449625,21.5227,8.18319,0.0,0.0,16.838888888888892,23.70555555555556,12.261111111111115
2003-08-21,0.025445438937380004,0.0,15.807783333333331,22.4757,10.2158,0.0,0.0,16.838888888888892,26.566666666666666,11.688888888888886
2003-08-22,0.0022697385484928,0.0,10.951045416666666,16.3576,6.945869999999999,0.0,0.0,11.688888888888886,17.983333333333334,6.5388888888888905
2003-08-23,0.0,0.0,9.596407916666667,16.5602,2.89606,0.0,0.0,8.255555555555555,14.55,3.677777777777776
2003-08-24,0.0005943420532280001,0.0,13.794320416666665,20.1482,7.541939999999999,0.0,0.0,11.688888888888886,20.272222222222226,4.822222222222221
2003-08-25,0.00019491742809000002,0.0,17.289670833333332,24.9903,10.751,0.0,0.0,16.266666666666666,27.711111111111112,9.972222222222225
2003-08-26,0.012198053831040001,0.0,11.92488,17.2554,7.49063,0.0,0.0,10.544444444444443,15.122222222222224,8.255555555555555
2003-08-27,0.00406822660629,0.0,10.562216250000002,16.5397,6.954910000000001,0.0,0.0,9.4,14.55,7.683333333333333
2003-08-28,0.0,0.0,14.70191958333333,22.14,8.186810000000001,0.0,0.0,13.405555555555555,23.13333333333333,7.111111111111111
2003-08-29,0.0,0.0,16.960320833333334,23.8068,11.4212,0.0,0.0,16.266666666666666,25.99444444444445,11.116666666666665
2003-08-30,0.0,0.0,17.8711625,25.9431,12.3251,0.0,0.0,17.983333333333334,28.28333333333333,12.261111111111115
2003-08-31,0.0,0.0,12.78059125,19.3134,7.36693,0.0,0.0,13.977777777777774,23.13333333333333,8.827777777777778
2003-09-01,0.0,0.0,12.207685833333331,18.3872,6.15261,0.0,0.0,13.977777777777774,22.56111111111111,8.255555555555555
2003-09-02,0.0,0.0,20.254891666666662,27.4355,12.889000000000001,0.0,0.0,20.272222222222226,30.57222222222222,13.977777777777774
2003-09-03,0.182902692468188,0.0,18.966016666666665,25.3127,15.2692,0.0,0.0,21.988888888888887,32.28888888888889,16.266666666666666
2003-09-04,0.024172450060990003,0.0,18.54965833333333,25.6371,14.0536,0.0,0.0,19.12777777777778,28.28333333333333,14.55
2003-09-05,0.0,0.0,18.2080625,25.2949,11.6073,0.0,0.0,17.983333333333334,27.711111111111112,13.405555555555555
2003-09-06,0.004051779943865501,0.0,15.956216666666668,22.5087,7.90158,0.1,0.0,16.838888888888892,26.566666666666666,9.972222222222225
2003-09-07,0.36112866154480505,0.0,8.56772,13.8651,6.10612,0.0,0.0,8.827777777777778,12.261111111111115,6.5388888888888905
2003-09-08,0.32765667142269594,0.0,6.674362916666667,11.9313,4.15189,0.8,0.0,5.966666666666668,8.827777777777778,4.822222222222221
2003-09-09,0.0002481343072208,0.0,8.03604875,13.3879,3.9730000000000003,0.0,0.0,7.683333333333333,13.977777777777774,3.677777777777776
2003-09-10,0.6881615767251611,0.0,7.173707083333333,8.26914,6.24354,1.8,0.0,8.255555555555555,9.4,7.683333333333333
2003-09-11,0.8191999333126069,0.0,6.718880833333333,7.958089999999999,3.68062,2.2,0.0,,,
2003-09-12,0.053667251027544015,0.0,5.937542083333334,11.4068,3.5378300000000005,0.0,0.0,5.966666666666668,9.972222222222225,3.677777777777776
2003-09-13,0.0,0.0,11.185245833333333,18.2171,4.65567,0.0,0.0,9.4,19.7,3.1055555555555574
2003-09-14,0.000195065459666,0.0,8.902631666666666,12.5265,3.7871900000000003,0.0,0.0,8.255555555555555,13.405555555555555,4.822222222222221
2003-09-15,0.0006838465110092001,0.0,6.5730325,12.083,3.13116,0.0,0.0,5.966666666666668,13.405555555555555,3.677777777777776
2003-09-16,0.43958108560200443,0.0,3.6398708333333336,7.9675899999999995,2.21975,1.0,0.0,2.5333333333333345,4.249999999999999,0.2444444444444432
2003-09-17,0.06285152764059401,0.0,5.905090833333333,11.3735,2.1613700000000002,0.0,0.0,4.822222222222221,8.255555555555555,2.5333333333333345
2003-09-18,0.1655896958357103,0.0,8.743317500000002,13.7202,4.03229,0.5,0.0,6.5388888888888905,8.827777777777778,3.677777777777776
2003-09-19,0.7139933078396425,0.0,6.903167083333333,8.94388,3.18456,0.2,0.0,7.111111111111111,8.827777777777778,4.249999999999999
2003-09-20,0.0,0.0,7.83026125,13.8955,2.9434299999999998,0.0,0.0,6.5388888888888905,13.405555555555555,3.1055555555555574
2003-09-21,0.0,0.0,10.266515416666667,16.8058,5.12649,0.0,0.0,8.255555555555555,18.555555555555557,2.5333333333333345
2003-09-22,3.6909075048999996e-05,0.0,10.721624583333332,16.8112,6.8315600000000005,0.0,0.0,11.688888888888886,21.988888888888887,7.111111111111111
2003-09-23,0.0017993669952797004,0.0,8.874955833333335,14.419,4.68035,0.0,0.0,10.544444444444443,18.555555555555557,7.683333333333333
2003-09-24,0.0,0.0,13.61493666666667,21.7006,8.190539999999999,0.0,0.0,14.55,22.56111111111111,9.4
