,prec_point,swq,tmean_point,tmax_point,tmin_point,prec_ref,swe,tmean_ref,tmax_ref,tmin_ref
1995-10-01,0.018996905494543897,0.004006619617641667,4.2857040416666665,9.58961,0.896034,0.2,0.0,5.966666666666668,9.4,3.1055555555555574
1995-10-02,0.5039394288200582,0.0,4.611125416666667,5.69013,3.57303,2.1,0.0,7.683333333333333,9.972222222222225,4.249999999999999
1995-10-03,0.32034407959988276,0.0,2.773213333333333,5.12558,1.54511,1.6,0.0,3.677777777777776,6.5388888888888905,2.5333333333333345
1995-10-04,0.0022513320818604004,0.0,3.45302,7.970860000000001,1.04845,0.3,0.0,4.822222222222221,9.972222222222225,2.5333333333333345
1995-10-05,0.032238504022956,0.0,6.65947625,10.2083,4.05293,0.0,0.0,8.255555555555555,13.405555555555555,5.394444444444446
1995-10-06,0.658523420602455,0.0,2.757809583333333,5.49389,1.2279200000000001,0.5,0.0,4.822222222222221,8.255555555555555,3.677777777777776
1995-10-07,0.027631001219945207,0.0,3.87224625,6.684939999999999,2.03377,0.2,0.0,5.394444444444446,8.255555555555555,3.677777777777776
1995-10-08,0.8502657804031158,0.0,2.8385599999999998,3.8842800000000004,2.0507,0.5,0.0,4.822222222222221,5.966666666666668,3.1055555555555574
1995-10-09,0.2654725492999811,0.0,2.9454124999999998,4.59074,1.38866,1.2,0.0,4.249999999999999,5.966666666666668,3.1055555555555574
1995-10-10,2.3609854481598,0.0,5.181064999999999,6.22877,3.4312699999999996,3.6,0.0,5.394444444444446,7.683333333333333,1.961111111111112
1995-10-11,1.3067651072275799,0.0,1.8104672916666669,3.25153,0.609309,0.8,0.0,2.5333333333333345,4.822222222222221,1.3888888888888888
1995-10-12,0.08526917710832291,0.0,1.3811103999999996,4.09009,-0.753101,0.4,0.0,2.5333333333333345,4.822222222222221,0.8166666666666659
1995-10-13,0.0009617952831487,0.0,4.49860225,9.15848,-0.6589189999999999,0.1,0.0,6.5388888888888905,11.116666666666665,1.961111111111112
1995-10-14,0.001882343929851,0.0,9.125991666666668,14.7743,4.49495,0.5,0.0,12.261111111111115,20.272222222222226,8.827777777777778
1995-10-15,0.7497182697295368,0.0,9.8087325,16.1112,4.96432,0.7,0.0,11.688888888888886,18.555555555555557,5.966666666666668
1995-10-16,0.568922933596171,0.0,4.566810833333334,5.818280000000001,3.35455,1.7,0.0,5.394444444444446,6.5388888888888905,4.249999999999999
1995-10-17,3.247886312912781,0.0,3.2378804166666675,4.36179,1.13486,1.2,0.0,4.249999999999999,7.111111111111111,1.3888888888888888
1995-10-18,0.007012753156963401,0.0006516007455650002,0.7390720708333332,3.04965,-0.697032,0.0,0.0,3.677777777777776,7.683333333333333,1.3888888888888888
1995-10-19,0.0032773080295879003,0.0,4.929239583333334,8.67576,1.3156700000000001,0.0,0.0,9.4,12.261111111111115,6.5388888888888905
1995-10-20,1.070735048669055,0.0002768735090916667,2.34256075,6.57027,-0.025277,0.6,0.0,4.822222222222221,11.116666666666665,2.5333333333333345
1995-10-21,0.280242884401942,0.17044804315737921,-0.7711889279166666,0.8902040000000001,-3.0535400000000004,0.8,0.0,0.8166666666666659,2.5333333333333345,-0.9000000000000006
1995-10-22,3.4270845277900004e-05,0.1006020671203625,0.6124101249999999,5.11217,-3.07905,0.0,0.0,1.961111111111112,5.966666666666668,-0.9000000000000006
1995-10-23,0.09825369364751708,0.014804031944304168,1.3790143625000002,5.13249,-0.7448,0.3,0.0,4.822222222222221,8.827777777777778,1.3888888888888888
1995-10-24,0.012255815673255004,0.03848626051354057,-0.48747333333333337,1.40254,-2.1642099999999997,0.0,0.0,1.961111111111112,4.249999999999999,0.8166666666666659
1995-10-25,0.841416597278103,0.0008786295755095835,1.7084361416666667,5.388809999999999,-1.40916,1.8,0.0,3.1055555555555574,5.966666666666668,1.3888888888888888
1995-10-26,0.34355890914375814,0.00028933983800195836,0.9321254500000001,3.18016,-0.912781,0.8,0.0,1.961111111111112,3.1055555555555574,0.2444444444444432
1995-10-27,0.0103249847487171,0.006953872193409167,-1.946897625,-0.464104,-4.13394,0.1,0.0,0.8166666666666659,3.677777777777776,-0.9000000000000006
1995-10-28,0.0,0.004530020490829167,-1.3846393333333336,3.48306,-3.94751,0.0,0.0,0.8166666666666659,3.677777777777776,-1.4722222222222214
1995-10-29,0.0,0.0,-2.0934798750000003,3.07176,-5.2514400000000006,0.0,0.0,1.3888888888888888,5.966666666666668,-1.4722222222222214
1995-10-30,0.0,0.0,-2.338452083333333,3.4241800000000002,-5.13446,0.0,0.0,0.2444444444444432,4.822222222222221,-2.0444444444444443
1995-10-31,0.0,0.0,-3.2759317500000003,2.55001,-6.57785,0.0,0.0,-0.9000000000000006,3.1055555555555574,-3.188888888888888
1995-11-01,0.0,0.0,-3.5859822500000003,1.87142,-6.90695,0.0,0.0,-1.4722222222222214,1.961111111111112,-4.333333333333333
1995-11-02,0.0,0.0,-0.9558355,4.24366,-4.454969999999999,0.0,0.0,-0.3277777777777777,4.822222222222221,-2.0444444444444443
1995-11-03,0.0,0.0,1.4688001666666668,6.70415,-2.13462,0.0,0.0,2.5333333333333345,8.255555555555555,-2.0444444444444443
1995-11-04,0.33030892092577613,0.08878761356208334,0.3927067500000001,3.12826,-2.96635,0.7,0.0,2.5333333333333345,7.111111111111111,-2.0444444444444443
1995-11-05,0.4450934332637101,0.3909374158305,-1.9266729999999999,-0.681052,-3.13683,1.0,0.7,-0.9000000000000006,-0.3277777777777777,-2.6166666666666667
