Date,prec_point,swq,tmean_point,tmax_point,tmin_point,prec_ref,swe,tmean_ref,tmax_ref,tmin_ref
1995-08-30,0.0,0.0,14.760610416666667,21.3668,8.83899,,65.4,48.92,53.04,0.0
1995-08-31,0.0,0.0,18.436604166666665,24.7431,12.5019,,72.61,48.92,61.28,0.0
1995-09-01,0.0,0.0,20.246779166666666,26.4751,15.4004,,78.79,58.19,67.46,0.0
1995-09-02,0.0,0.0,21.803887500000002,28.754,17.1987,,82.91,58.19,68.49,0.0
1995-09-03,0.000447605359817,0.0,19.178179166666666,25.0802,10.9154,,80.85,50.98,62.31,0.0
1995-09-04,0.0317496892708072,0.0,10.479953333333333,14.9695,8.12886,,56.13,46.86,49.95,0.0
1995-09-05,0.2024255534829682,0.0,10.3460125,14.8814,7.53008,,56.13,44.8,47.89,0.0
1995-09-06,0.1356555878602771,0.0,11.795472916666666,17.4579,8.12231,,60.25,44.8,49.95,0.0
1995-09-07,0.0221381832538251,0.0,11.293272083333333,16.968,7.52911,,53.04,46.86,48.92,0.0
1995-09-08,0.0,0.0,15.173025,20.9064,9.6004,,65.4,47.89,56.13,0.0
1995-09-09,0.0,0.0,18.002279166666664,24.3735,12.6314,,73.64,55.1,62.31,0.0
1995-09-10,0.0,0.0,18.092241666666666,23.3577,13.2539,,71.58,53.04,60.25,0.0
1995-09-11,0.0,0.0,15.371933333333333,20.7582,10.4978,,65.4,49.95,56.13,0.0
1995-09-12,0.0,0.0,16.837275,22.7487,12.3124,,68.49,50.98,58.19,0.0
1995-09-13,0.0,0.0,20.276879166666667,26.0998,15.3327,,78.79,53.04,65.4,0.0
1995-09-14,0.001610892602165,0.0,21.592966666666666,26.5298,17.723,,80.85,59.22,68.49,0.0
1995-09-15,0.0,0.0,19.985454166666667,24.9017,15.891,,76.73,57.16,64.37,0.0
1995-09-16,0.0,0.0,18.828279166666665,24.521,13.0135,,72.61,52.01,60.25,0.0
1995-09-17,1.9654301951900002e-05,0.0,13.181764583333333,18.1161,9.05004,,52.01,47.89,49.95,0.0
1995-09-18,0.0008823705552199999,0.0,11.272518750000001,15.8832,6.88081,,53.04,46.86,48.92,0.0
1995-09-19,0.0,0.0,14.242245833333333,19.2841,10.0672,,63.34,46.86,53.04,0.0
1995-09-20,0.0,0.0,14.960212499999999,21.5864,10.8822,,65.4,49.95,57.16,0.0
1995-09-21,0.0,0.0,14.35994375,22.3848,8.39713,,69.52,46.86,57.16,0.0
1995-09-22,0.0,0.0,17.607879166666667,25.0488,11.6097,,76.73,55.1,62.31,0.0
1995-09-23,0.0,0.0,18.854558333333333,24.6276,14.3091,,74.67,57.16,63.34,0.0
1995-09-24,0.018696737261587,0.0,16.465391666666665,22.9519,11.2258,,73.64,49.95,59.22,0.0
1995-09-25,0.09387673561466969,0.0,10.67725875,13.8249,8.16755,,53.04,44.8,47.89,0.0
1995-09-26,0.19175507925634827,0.0,9.102830833333334,12.2859,7.27453,,53.04,43.77,46.86,0.0
1995-09-27,2.44917035404734,0.0,8.822335416666666,10.5403,8.03336,,47.89,43.77,45.83,0.0
1995-09-28,0.939474181725233,0.0,7.43576125,9.3842,5.61169,,45.83,41.71,43.77,0.0
1995-09-29,0.5975898225802196,0.0,7.404385,10.7641,4.73212,,50.98,41.71,44.8,0.0
1995-09-30,1.529704493362815,0.0,6.2075466666666665,7.72742,4.121,,45.83,35.53,41.71,0.0
1995-10-01,0.0206871229426939,0.0,6.4216075,11.7255,3.03194,0.2,48.92,37.59,42.74,0.0
1995-10-02,0.549217795002646,0.0,6.7470324999999995,7.82604,5.70894,2.1,49.95,39.65,45.83,0.0
1995-10-03,0.34913044238860486,0.0,4.90911875,7.26148,3.68102,1.6,43.77,36.56,38.62,0.0
1995-10-04,0.0024571841615244,0.0,5.588927916666666,10.1068,3.18436,0.3,49.95,36.56,40.68,0.0
1995-10-05,0.035199776881885,0.0,8.795380416666667,12.3442,6.18884,0.0,56.13,41.71,46.86,0.0
1995-10-06,0.717802201392507,0.0,4.893716666666667,7.6298,3.36383,0.5,46.86,38.62,40.68,0.0
1995-10-07,0.0301268486306942,0.0,6.008152083333333,8.82084,4.16967,0.2,46.86,38.62,41.71,0.0
1995-10-08,0.9268007248815701,0.0,4.974465416666667,6.02019,4.1866,0.5,42.74,37.59,40.68,0.0
1995-10-09,0.28930918264419714,0.0,5.081318333333333,6.72665,3.52456,1.2,42.74,37.59,39.65,0.0
1995-10-10,2.5733979250672,0.0,7.316971250000001,8.36468,5.56717,3.6,45.83,35.53,41.71,0.0
1995-10-11,1.42434680064292,0.0,3.9463741666666667,5.38744,2.74522,0.8,40.68,34.5,36.56,0.0
1995-10-12,0.0929454710172989,0.0,3.5170162499999997,6.226,1.38281,0.4,40.68,33.47,36.56,0.0
1995-10-13,0.0010494633619855,0.0,6.634508333333333,11.2944,1.47699,0.1,52.01,35.53,43.77,0.0
1995-10-14,0.0020901117979511,0.0,11.261897500000002,16.9102,6.63086,0.5,68.49,47.89,54.07,0.0
1995-10-15,0.8171418730673968,0.0,11.944634583333333,18.2471,7.10022,0.7,65.4,42.74,53.04,0.0
1995-10-16,0.620089249021242,0.0,6.702717083333333,7.95419,5.49046,1.7,43.77,39.65,41.71,0.0
1995-10-17,3.54005722265349,0.0,5.373786249999999,6.49769,3.27076,1.2,44.8,34.5,39.65,0.0
1995-10-18,0.0076203968315475,0.0,2.87497625,5.18555,1.43887,0.0,45.83,34.5,38.62,0.0
1995-10-19,0.0035668211780509004,0.0,7.065146250000001,10.8117,3.45158,0.0,54.07,43.77,48.92,0.0
1995-10-20,1.1671478641177742,0.0,4.478469166666667,8.70617,2.11063,0.6,52.01,36.56,40.68,0.0
1995-10-21,0.305439240921353,0.0004980437400720834,1.364717375,3.02611,-0.917634,0.8,36.56,30.38,33.47,0.0
1995-10-22,5.62444398208e-05,0.002912263711729167,2.748316708333333,7.24808,-0.943144,0.0,42.74,30.38,35.53,0.0
1995-10-23,0.10709176255392999,0.0,3.514920416666667,7.2684,1.39111,0.3,47.89,34.5,40.68,0.0
1995-10-24,0.0133962072733181,0.00017583039350479166,1.6484334833333334,3.53844,-0.0283059,0.0,39.65,33.47,35.53,0.0
1995-10-25,0.917170964563392,0.0,3.844343125,7.52472,0.726745,1.8,42.74,34.5,37.59,0.0
1995-10-26,0.374506473493229,0.0,3.0680316666666667,5.31607,1.22313,0.8,37.59,32.44,35.53,0.0
1995-10-27,0.0112245123998161,8.322543864250001e-06,0.1890079,1.6718,-1.99804,0.1,38.62,30.38,33.47,0.0
1995-10-28,0.0,0.0,0.7512669750000001,5.61897,-1.8116,0.0,38.62,29.35,33.47,0.0
1995-10-29,0.0,0.0,0.04242683333333334,5.20767,-3.11553,0.0,42.74,29.35,34.5,0.0
1995-10-30,0.0,0.0,-0.2025451250000001,5.56009,-2.99856,0.0,40.68,28.32,32.44,0.0
1995-10-31,0.0,0.0,-1.2834178333333333,4.68592,-4.44194,0.0,37.59,26.26,30.38,0.0
1995-11-01,0.0,0.0,-1.8802592916666665,3.57715,-5.20123,0.0,35.53,24.2,29.35,0.0
1995-11-02,0.0,0.0,0.7498899583333333,5.94938,-2.74925,0.0,40.68,28.32,31.41,0.0
1995-11-03,0.0,0.0,3.1745228208333334,8.40987,-0.428892,0.0,46.86,28.32,36.56,0.0
1995-11-04,0.3204447896148961,0.062229397120916664,2.098433791666667,4.83398,-1.26063,0.7,44.8,28.32,36.56,0.0
1995-11-05,0.431808894594,0.18858471469658333,-0.22094827916666668,1.02467,-1.4311,1.0,31.41,27.29,30.38,0.7
1995-11-06,0.2885969443068327,0.457536516754625,-0.5530706612499999,0.680211,-1.40035,0.5,35.53,24.2,29.35,1.6
