,prec_point,swq,tmean_point,tmax_point,tmin_point,prec_ref,swe,tmean_ref,tmax_ref,tmin_ref
1995-10-01,0.018996905494543897,0.004889800540753333,3.5297682083333335,8.833680000000001,0.140098,0.2,0.0,5.966666666666668,9.4,3.1055555555555574
1995-10-02,0.5039394288200582,0.0,3.8551908333333333,4.93419,2.8171,2.1,0.0,7.683333333333333,9.972222222222225,4.249999999999999
1995-10-03,0.32034407959988276,0.0,2.0172772916666672,4.36964,0.789175,1.6,0.0,3.677777777777776,6.5388888888888905,2.5333333333333345
1995-10-04,0.0022513320818604004,0.0,2.6970854583333335,7.214930000000001,0.292515,0.3,0.0,4.822222222222221,9.972222222222225,2.5333333333333345
1995-10-05,0.032238504022956,0.0,5.903536249999999,9.45234,3.2969999999999997,0.0,0.0,8.255555555555555,13.405555555555555,5.394444444444446
1995-10-06,0.658523459972555,0.0,2.0018746250000006,4.73795,0.471988,0.5,0.0,4.822222222222221,8.255555555555555,3.677777777777776
1995-10-07,0.027631001219945207,0.0,3.116309583333333,5.928999999999999,1.27783,0.2,0.0,5.394444444444446,8.255555555555555,3.677777777777776
1995-10-08,0.8502657804031158,0.0,2.08262375,3.12835,1.2947600000000001,0.5,0.0,4.822222222222221,5.966666666666668,3.1055555555555574
1995-10-09,0.2654725492999811,0.0,2.189475916666667,3.8348,0.632721,1.2,0.0,4.249999999999999,5.966666666666668,3.1055555555555574
1995-10-10,2.3609854481598,0.0,4.425130000000001,5.47284,2.6753299999999998,3.6,0.0,5.394444444444446,7.683333333333333,1.961111111111112
1995-10-11,1.3067651072275799,0.0189932573035975,1.0545305716666669,2.4956,-0.146627,0.8,0.0,2.5333333333333345,4.822222222222221,1.3888888888888888
1995-10-12,0.08526917710832291,0.23371902384600005,0.6251741583333333,3.33415,-1.50904,0.4,0.0,2.5333333333333345,4.822222222222221,0.8166666666666659
1995-10-13,0.0009617952831487,0.05398717154150833,3.742665666666667,8.40254,-1.41485,0.1,0.0,6.5388888888888905,11.116666666666665,1.961111111111112
1995-10-14,0.001882343929851,0.0,8.370052916666666,14.0183,3.73901,0.5,0.0,12.261111111111115,20.272222222222226,8.827777777777778
1995-10-15,0.7497182697295368,0.0,9.052794583333334,15.3552,4.20838,0.7,0.0,11.688888888888886,18.555555555555557,5.966666666666668
1995-10-16,0.568922933596171,0.0,3.810875,5.06235,2.59862,1.7,0.0,5.394444444444446,6.5388888888888905,4.249999999999999
1995-10-17,3.247886312912781,0.0,2.4819449166666665,3.60585,0.37892,1.2,0.0,4.249999999999999,7.111111111111111,1.3888888888888888
1995-10-18,0.007012753156963401,0.002476777092052083,-0.016864333333333287,2.29371,-1.45297,0.0,0.0,3.677777777777776,7.683333333333333,1.3888888888888888
1995-10-19,0.0032773080295879003,0.0,4.17330275,7.91983,0.559735,0.0,0.0,9.4,12.261111111111115,6.5388888888888905
1995-10-20,1.070735048669055,0.007120756601112,1.5866256708333335,5.81433,-0.781213,0.6,0.0,4.822222222222221,11.116666666666665,2.5333333333333345
1995-10-21,0.280242884401942,0.2855272375179583,-1.527124833333333,0.134268,-3.80948,0.8,0.0,0.8166666666666659,2.5333333333333345,-0.9000000000000006
1995-10-22,3.4270845277900004e-05,0.21313070892254166,-0.14352436250000025,4.356240000000001,-3.8349900000000003,0.0,0.0,1.961111111111112,5.966666666666668,-0.9000000000000006
1995-10-23,0.09825369364751708,0.03328770334280417,0.623078241666667,4.37655,-1.50074,0.3,0.0,4.822222222222221,8.827777777777778,1.3888888888888888
1995-10-24,0.012255811736245,0.04380074053230837,-1.2434086666666666,0.6466029999999999,-2.92015,0.0,0.0,1.961111111111112,4.249999999999999,0.8166666666666659
1995-10-25,0.841416597278103,0.013221992868218749,0.9525004250000001,4.63288,-2.1651,1.8,0.0,3.1055555555555574,5.966666666666668,1.3888888888888888
1995-10-26,0.34355890914375814,0.0027826059973570837,0.17618908333333336,2.42422,-1.66872,0.8,0.0,1.961111111111112,3.1055555555555574,0.2444444444444432
1995-10-27,0.0103249847487171,0.008887089772779166,-2.70283375,-1.22004,-4.889880000000001,0.1,0.0,0.8166666666666659,3.677777777777776,-0.9000000000000006
1995-10-28,0.0,0.005146986047087499,-2.1405745,2.72713,-4.7034400000000005,0.0,0.0,0.8166666666666659,3.677777777777776,-1.4722222222222214
1995-10-29,0.0,0.0,-2.8494154166666665,2.31582,-6.00738,0.0,0.0,1.3888888888888888,5.966666666666668,-1.4722222222222214
1995-10-30,0.0,0.0,-3.0943867916666665,2.66825,-5.8904,0.0,0.0,0.2444444444444432,4.822222222222221,-2.0444444444444443
1995-10-31,0.0,0.0,-4.031866640416667,1.79407,-7.33378,0.0,0.0,-0.9000000000000006,3.1055555555555574,-3.188888888888888
1995-11-01,0.0,0.0,-3.9639504,1.49346,-7.28492,0.0,0.0,-1.4722222222222214,1.961111111111112,-4.333333333333333
1995-11-02,0.0,0.0,-1.333802333333333,3.8656900000000003,-4.83294,0.0,0.0,-0.3277777777777777,4.822222222222221,-2.0444444444444443
1995-11-03,0.0,0.0,1.090832125,6.32618,-2.51258,0.0,0.0,2.5333333333333345,8.255555555555555,-2.0444444444444443
1995-11-04,0.33030892092577613,0.08872430972212501,0.014741083333333349,2.75029,-3.3443199999999997,0.7,0.0,2.5333333333333345,7.111111111111111,-2.0444444444444443
1995-11-05,0.4450934332637101,0.3901925499427083,-2.304640416666667,-1.05902,-3.51479,1.0,0.7,-0.9000000000000006,-0.3277777777777777,-2.6166666666666667
