,prec_point,swq,tmean_point,tmax_point,tmin_point,prec_ref,swe,tmean_ref,tmax_ref,tmin_ref
1995-10-01,0.0189969054945439,0.00464177858923625,3.0967205416666665,8.40063,-0.29295,0.2,0.0,5.966666666666668,9.4,3.1055555555555574
1995-10-02,0.5039394288200579,0.0,3.4221420833333336,4.50114,2.38405,2.1,0.0,7.683333333333333,9.972222222222223,4.249999999999999
1995-10-03,0.3203440795998828,0.0,1.584228875,3.93659,0.356127,1.6,0.0,3.677777777777776,6.5388888888888905,2.5333333333333345
1995-10-04,0.0022513320818604004,0.0004198972083716667,2.264036568333333,6.78188,-0.140534,0.3,0.0,4.822222222222222,9.972222222222223,2.5333333333333345
1995-10-05,0.032238504022956,0.0,5.4704879166666665,9.0193,2.86395,0.0,0.0,8.255555555555555,13.405555555555557,5.394444444444445
1995-10-06,0.6585234206024551,9.46782007325e-05,1.5688262583333332,4.3049,0.0389392,0.5,0.0,4.822222222222222,8.255555555555555,3.677777777777776
1995-10-07,0.027631001219945203,0.0,2.6832615833333335,5.49595,0.844781,0.2,0.0,5.394444444444445,8.255555555555555,3.677777777777776
1995-10-08,0.850265780403116,0.0,1.6495755416666666,2.6953,0.861713,0.5,0.0,4.822222222222222,5.966666666666668,3.1055555555555574
1995-10-09,0.2654725492999811,0.00026831768098070836,1.7564276666666665,3.40176,0.199673,1.2,0.0,4.249999999999999,5.966666666666668,3.1055555555555574
1995-10-10,2.3609854481598003,0.0,3.99208125,5.03979,2.24228,3.6,0.0,5.394444444444445,7.683333333333333,1.961111111111112
1995-10-11,1.3067651072275799,0.11889020527679167,0.6214839291666666,2.06255,-0.579675,0.8,0.0,2.5333333333333345,4.822222222222222,1.3888888888888888
1995-10-12,0.0852691771083229,0.38980856023404165,0.19212592916666668,2.90111,-1.94209,0.4,0.0,2.5333333333333345,4.822222222222222,0.816666666666666
1995-10-13,0.0009617952831487,0.14942665549349998,3.309616666666667,7.96949,-1.8479,0.1,0.0,6.5388888888888905,11.116666666666664,1.961111111111112
1995-10-14,0.001882343929851,0.0,7.937008333333334,13.5853,3.30596,0.5,0.0,12.261111111111113,20.272222222222226,8.827777777777778
1995-10-15,0.7497182697295368,0.0,8.619741666666666,14.9222,3.77533,0.7,0.0,11.688888888888888,18.55555555555556,5.966666666666668
1995-10-16,0.568922933596171,0.0,3.377826666666667,4.6293,2.16557,1.7,0.0,5.394444444444445,6.5388888888888905,4.249999999999999
1995-10-17,3.24788631291278,0.00021149781762083337,2.0488960124999998,3.1728,-0.0541287,1.2,0.0,4.249999999999999,7.11111111111111,1.3888888888888888
1995-10-18,0.007012753156963401,0.005111093639254167,-0.4499129416666667,1.86066,-1.88602,0.0,0.0,3.677777777777776,7.683333333333333,1.3888888888888888
1995-10-19,0.0032773080295879003,0.0,3.740255583333333,7.48678,0.126687,0.0,0.0,9.4,12.261111111111113,6.5388888888888905
1995-10-20,1.070735048669055,0.10891647941854166,1.1535779208333332,5.38128,-1.21426,0.6,0.0,4.822222222222222,11.116666666666664,2.5333333333333345
1995-10-21,0.280242884401942,0.38261123023200005,-1.9601730833333333,-0.29878,-4.24252,0.8,0.0,0.816666666666666,2.5333333333333345,-0.9000000000000006
